name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Aqib Iqbal,Austria,Right hand Bat,,Right arm Medium,,
Robinson Obuya,Uganda,Right hand Bat,,,,
Shahil Momin,Austria,Left hand Bat,,Slow Left arm Orthodox,,
Nyambaatar Naranbaatar,Mongolia,Right hand Bat,,Right arm Medium,,
Samuel Stanislaus,Malta,Right hand Bat,,Right arm Offbreak,,
Karabo Motlhanka,Botswana,Left hand Bat,,,,
Shakib Al Hasan(c),Bangladesh,Left hand Bat,Allrounder,Slow Left arm Orthodox,"When the annals of Bangladesh cricket are sifted by future generations, Shakib Al Hasan will emerge and re-emerge as the greatest cricketer of its first two decades. As a bowler, Shakib is accurate, consistent and canny; aggression and a wide range of strokes are the keys to his batting. Even more importantly, he has self-belief and an excellent temperament, unflustered by the big occasion and ready to do battle against the top teams.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316581.png"
Muhammad Khan ,Hong Kong,Right hand Bat,Wicketkeeper Batter,,,
Hiri Hiri,Papua New Guinea,Right hand Bat,Middle order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321144.png"
Hrvoje Hajnic,Croatia,Right hand Bat,,Right arm Medium,,
